Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1,7.104240694407884e-7,7.054537581222179e-7,7.168131730722552e-7,1.8754175980598886e-8,1.5108164816665415e-8,2.4339905666357684e-8
2,9.511704401433642e-7,9.468662774578323e-7,9.571429565939292e-7,1.6697088339503437e-8,1.2231982865438125e-8,2.649579365694939e-8
3,1.1691380214896648e-6,1.1643477669677505e-6,1.1755266702341453e-6,1.8905000157276865e-8,1.3746750547733925e-8,2.757183973635847e-8
4,1.4229284911307144e-6,1.4166898384087363e-6,1.432703460729772e-6,2.6848777075828973e-8,1.746604687734464e-8,4.244171907008478e-8
5,1.5796305397680819e-6,1.5682090646590585e-6,1.5987332283510419e-6,4.8081019087139476e-8,3.2584916612970775e-8,8.222517844298016e-8
6,2.009491595180002e-6,1.991839693736495e-6,2.0279879492463643e-6,5.992823178460479e-8,5.194400747181793e-8,7.390582960342891e-8
7,2.3002870003342694e-6,2.272503811611539e-6,2.3294257585949506e-6,1.0218554549962689e-7,8.874308081506004e-8,1.2977236888378062e-7
8,2.535322453065025e-6,2.5182750590962114e-6,2.560673554073757e-6,6.639043175226259e-8,4.575660480265306e-8,8.664912569818344e-8
9,2.876720069121772e-6,2.8650650100314578e-6,2.899083333785512e-6,5.413919102673241e-8,3.0565905499225036e-8,9.490453582986912e-8
10,3.1712219299309892e-6,3.139936858101465e-6,3.208522034914574e-6,1.1082551626882232e-7,9.756847502763571e-8,1.282672488805227e-7
12,4.111784556083728e-6,4.077542732735117e-6,4.162827774515021e-6,1.4141160547734067e-7,1.0540122841940361e-7,2.0118840491910386e-7
14,5.79389472073644e-6,5.738565456940642e-6,5.8486439128769275e-6,1.914928587868569e-7,1.7405141400018028e-7,2.1198771823056222e-7
16,6.8020634120321994e-6,6.760775980056473e-6,6.855295180998827e-6,1.5367057177639176e-7,1.268239696325726e-7,2.021810771305032e-7
18,8.108595672895977e-6,8.013693982793218e-6,8.306333671461473e-6,4.539053543941936e-7,2.4249560080823543e-7,8.020968589724537e-7
20,9.29022995143932e-6,9.2192135083184e-6,9.359611559613158e-6,2.444824602147978e-7,2.193002879851942e-7,2.746940768381534e-7
